#cldr/common/bcp47/number.xml			#cldr/common/supplemental/numberingSystems.xml		
Code	Name	Version	Method	Digits	Rules reference
limb	Limbu digits	21	numeric	᥆᥇᥈᥉᥊᥋᥌᥍᥎᥏	
mathbold	Mathematical bold digits	28	numeric	&#x1D7CE;&#x1D7CF;&#x1D7D0;&#x1D7D1;&#x1D7D2;&#x1D7D3;&#x1D7D4;&#x1D7D5;&#x1D7D6;&#x1D7D7;	
mathdbl	Mathematical double-struck digits	28	numeric	&#x1D7D8;&#x1D7D9;&#x1D7DA;&#x1D7DB;&#x1D7DC;&#x1D7DD;&#x1D7DE;&#x1D7DF;&#x1D7E0;&#x1D7E1;	
mathmono	Mathematical monospace digits	28	numeric	&#x1D7F6;&#x1D7F7;&#x1D7F8;&#x1D7F9;&#x1D7FA;&#x1D7FB;&#x1D7FC;&#x1D7FD;&#x1D7FE;&#x1D7FF;	
mathsanb	Mathematical sans-serif bold digits	28	numeric	&#x1D7EC;&#x1D7ED;&#x1D7EE;&#x1D7EF;&#x1D7F0;&#x1D7F1;&#x1D7F2;&#x1D7F3;&#x1D7F4;&#x1D7F5;	
mathsans	Mathematical sans-serif digits	28	numeric	&#x1D7E2;&#x1D7E3;&#x1D7E4;&#x1D7E5;&#x1D7E6;&#x1D7E7;&#x1D7E8;&#x1D7E9;&#x1D7EA;&#x1D7EB;	
mlym	Malayalam digits		numeric	൦൧൨൩൪൫൬൭൮൯	
modi	Modi digits	28	numeric	&#x11650;&#x11651;&#x11652;&#x11653;&#x11654;&#x11655;&#x11656;&#x11657;&#x11658;&#x11659;	
mong	Mongolian digits		numeric	᠐᠑᠒᠓᠔᠕᠖᠗᠘᠙	
mroo	Mro digits	28	numeric	&#x16A60;&#x16A61;&#x16A62;&#x16A63;&#x16A64;&#x16A65;&#x16A66;&#x16A67;&#x16A68;&#x16A69;	
mtei	Meetei Mayek digits	21	numeric	꯰꯱꯲꯳꯴꯵꯶꯷꯸꯹	
mymr	Myanmar digits		numeric	၀၁၂၃၄၅၆၇၈၉	
mymrepka	Myanmar Eastern Pwo Karen digits	46	numeric	&#x116DA;&#x116DB;&#x116DC;&#x116DD;&#x116DE;&#x116DF;&#x116E0;&#x116E1;&#x116E2;&#x116E3;	
mymrpao	Myanmar Pao digits	46	numeric	&#x116D0;&#x116D1;&#x116D2;&#x116D3;&#x116D4;&#x116D5;&#x116D6;&#x116D7;&#x116D8;&#x116D9;	
mymrshan	Myanmar Shan digits	21	numeric	႐႑႒႓႔႕႖႗႘႙	
mymrtlng	Myanmar Tai Laing digits	28	numeric	&#xA9F0;&#xA9F1;&#xA9F2;&#xA9F3;&#xA9F4;&#xA9F5;&#xA9F6;&#xA9F7;&#xA9F8;&#xA9F9;	
nagm	Nag Mundari digits	42	numeric	&#x1E4F0;&#x1E4F1;&#x1E4F2;&#x1E4F3;&#x1E4F4;&#x1E4F5;&#x1E4F6;&#x1E4F7;&#x1E4F8;&#x1E4F9;	
native	Native digits	21			
newa	Newa digits	30	numeric	&#x11450;&#x11451;&#x11452;&#x11453;&#x11454;&#x11455;&#x11456;&#x11457;&#x11458;&#x11459;	
nkoo	N'Ko digits	21	numeric	߀߁߂߃߄߅߆߇߈߉	
olck	Ol Chiki digits	21	numeric	᱐᱑᱒᱓᱔᱕᱖᱗᱘᱙	
onao	Ol Onal digits	46	numeric	&#x1E5F1;&#x1E5F2;&#x1E5F3;&#x1E5F4;&#x1E5F5;&#x1E5F6;&#x1E5F7;&#x1E5F8;&#x1E5F9;&#x1E5FA;	
orya	Oriya digits		numeric	୦୧୨୩୪୫୬୭୮୯	
osma	Osmanya digits	21	numeric	&#x104A0;&#x104A1;&#x104A2;&#x104A3;&#x104A4;&#x104A5;&#x104A6;&#x104A7;&#x104A8;&#x104A9;	
outlined	Legacy computing outlined digits	46	numeric	&#x1CCF0;&#x1CCF1;&#x1CCF2;&#x1CCF3;&#x1CCF4;&#x1CCF5;&#x1CCF6;&#x1CCF7;&#x1CCF8;&#x1CCF9;	
rohg	Hanifi Rohingya digits	33.1	numeric	&#x10D30;&#x10D31;&#x10D32;&#x10D33;&#x10D34;&#x10D35;&#x10D36;&#x10D37;&#x10D38;&#x10D39;	
roman	Roman upper case numerals — algorithmic		algorithmic	IVXLCDM	roman-upper
romanlow	Roman lowercase numerals — algorithmic		algorithmic	ivxlcdm	roman-lower
saur	Saurashtra digits	21	numeric	꣐꣑꣒꣓꣔꣕꣖꣗꣘꣙	
segment	Legacy computing segmented digits	37	numeric	&#x1FBF0;&#x1FBF1;&#x1FBF2;&#x1FBF3;&#x1FBF4;&#x1FBF5;&#x1FBF6;&#x1FBF7;&#x1FBF8;&#x1FBF9;	
shrd	Sharada digits	21	numeric	&#x111D0;&#x111D1;&#x111D2;&#x111D3;&#x111D4;&#x111D5;&#x111D6;&#x111D7;&#x111D8;&#x111D9;	
sind	Khudawadi digits	28	numeric	&#x112F0;&#x112F1;&#x112F2;&#x112F3;&#x112F4;&#x112F5;&#x112F6;&#x112F7;&#x112F8;&#x112F9;	
sinh	Sinhala Lith digits	28	numeric	&#x0DE6;&#x0DE7;&#x0DE8;&#x0DE9;&#x0DEA;&#x0DEB;&#x0DEC;&#x0DED;&#x0DEE;&#x0DEF;	
sora	Sora_Sompeng digits	21	numeric	&#x110F0;&#x110F1;&#x110F2;&#x110F3;&#x110F4;&#x110F5;&#x110F6;&#x110F7;&#x110F8;&#x110F9;	
sund	Sundanese digits	21	numeric	᮰᮱᮲᮳᮴᮵᮶᮷᮸᮹	
sunu	Sunuwar digits	46	numeric	&#x11BF0;&#x11BF1;&#x11BF2;&#x11BF3;&#x11BF4;&#x11BF5;&#x11BF6;&#x11BF7;&#x11BF8;&#x11BF9;	
takr	Takri digits	21	numeric	&#x116C0;&#x116C1;&#x116C2;&#x116C3;&#x116C4;&#x116C5;&#x116C6;&#x116C7;&#x116C8;&#x116C9;	
talu	New Tai Lue digits	21	numeric	᧐᧑᧒᧓᧔᧕᧖᧗᧘᧙	
taml	Tamil numerals — algorithmic		algorithmic	௦௧௨௩௪௫௬௭௮௯	tamil
tamldec	Modern Tamil decimal digits	2.0.1	numeric	௦௧௨௩௪௫௬௭௮௯	
tnsa	Tangsa digits	40	numeric	&#x16AC0;&#x16AC1;&#x16AC2;&#x16AC3;&#x16AC4;&#x16AC5;&#x16AC6;&#x16AC7;&#x16AC8;&#x16AC9;	
telu	Telugu digits		numeric	౦౧౨౩౪౫౬౭౮౯	
thai	Thai digits		numeric	๐๑๒๓๔๕๖๗๘๙	
tibt	Tibetan digits		numeric	༠༡༢༣༤༥༦༧༨༩	
tirh	Tirhuta digits	28	numeric	&#x114D0;&#x114D1;&#x114D2;&#x114D3;&#x114D4;&#x114D5;&#x114D6;&#x114D7;&#x114D8;&#x114D9;	
tols	Tolong Siki digits	48	numeric	&#x11DE0;&#x11DE1;&#x11DE2;&#x11DE3;&#x11DE4;&#x11DE5;&#x11DE6;&#x11DE7;&#x11DE8;&#x11DE9;	
traditio	Traditional numerals — may be algorithmic" alias="traditional	21			
vaii	Vai digits	21	numeric	꘠꘡꘢꘣꘤꘥꘦꘧꘨꘩	
wara	Warang Citi digits	28	numeric	&#x118E0;&#x118E1;&#x118E2;&#x118E3;&#x118E4;&#x118E5;&#x118E6;&#x118E7;&#x118E8;&#x118E9;	
wcho	Wancho digits	35	numeric	&#x1E2F0;&#x1E2F1;&#x1E2F2;&#x1E2F3;&#x1E2F4;&#x1E2F5;&#x1E2F6;&#x1E2F7;&#x1E2F8;&#x1E2F9;	
