Subject	Group	Field	Instance	Length	Variant	Example#	XPath	ExtID	English	English (pattern)	French	Level	Var1	Var2
dates	DateIntervals	intervalFormats	MMMEd		d	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MMMEd"]/greatestDifference[@id="d"]	dc-94_XXX	Tue, Apr 23 – Wed, Apr 24	E, MMM d – E, MMM d		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	MMMEd		M	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MMMEd"]/greatestDifference[@id="M"]	dc-95_XXX	Tue, Apr 23 – Tue, May 23	E, MMM d – E, MMM d		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	y		y	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="y"]/greatestDifference[@id="y"]	dc-11_XXX	2024 – 2027	y – y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	y		y	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="y"]/greatestDifference[@id="y"]	dc-29_XXX	2024 – 2027	y – y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	y		y	3	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="y"]/greatestDifference[@id="y"]	dc-30_XXX	2023 – 2024	y – y		Moderate		1713855600000
dates	DateIntervals	intervalFormats	yM		y	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yM"]/greatestDifference[@id="y"]	dc-27_XXX	4/2024 – 4/2027	M/y – M/y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yM		m	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yM"]/greatestDifference[@id="m"]	dc-28_XXX	4/2024 – 5/2024	M/y – M/y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMd		y	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMd"]/greatestDifference[@id="y"]	dc-24_XXX	4/23/2024 – 4/23/2027	M/d/y – M/d/y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMd		d	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMd"]/greatestDifference[@id="d"]	dc-65_XXX	4/23/2024 – 4/24/2024	M/d/y – M/d/y		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	yMd		m	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMd"]/greatestDifference[@id="m"]	dc-66_XXX	4/23/2024 – 5/23/2024	M/d/y – M/d/y		Moderate	1,713,855,600,000	
